
      Missile acceleration vs time plots for 10 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    1466.48              8261.21        
      8                    1233.61              6940.51        
      12                   1084.05              6092.29        
      16                   999.29               5611.63        
      20                   968.96               5439.63        
      24                   989.37               5555.36        
      28                   1062.99              5972.91        
      32                   1198.84              6743.33        
      36                   1413.68              7961.75        
      40                   1734.32              9780.19        
      44                   2201.12              12427.52       
      48                   2873.08              16238.41       
      52                   3834.97              21693.59       
      56                   5207.0               29474.72       
      60                   7157.68              40537.58       

      Missile acceleration vs time plots for 20 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    2878.9               7882.76        
      8                    2420.22              6622.56        
      12                   2125.64              5813.2         
      16                   1958.71              5354.55        
      20                   1898.97              5190.44        
      24                   1939.17              5300.87        
      28                   2084.18              5699.28        
      32                   2351.74              6434.41        
      36                   2774.9               7597.02        
      40                   3406.43              9332.15        
      44                   4325.84              11858.21       
      48                   5649.35              15494.51       
      52                   7543.91              20699.78       
      56                   10246.27             28124.45       
      60                   14088.37             38680.51       

      Missile acceleration vs time plots for 30 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    4204.14              7264.79        
      8                    3533.6               6103.38        
      12                   3102.95              5357.47        
      16                   2858.91              4934.78        
      20                   2771.58              4783.53        
      24                   2830.34              4885.31        
      28                   3042.33              5252.49        
      32                   3433.49              5929.99        
      36                   4052.1               7001.45        
      40                   4975.34              8600.56        
      44                   6319.43              10928.58       
      48                   8254.27              14279.82       
      52                   11023.93             19077.02       
      56                   14974.52             25919.63       
      60                   20591.28             35648.15       

      Missile acceleration vs time plots for 40 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    5401.93              6426.08        
      8                    4539.91              5398.76        
      12                   3986.27              4738.96        
      16                   3672.54              4365.07        
      20                   3560.28              4231.28        
      24                   3635.82              4321.31        
      28                   3908.35              4646.1         
      32                   4411.21              5245.38        
      36                   5206.48              6193.15        
      40                   6393.38              7607.64        
      44                   8121.3               9666.9         
      48                   10608.68             12631.24       
      52                   14169.29             16874.62       
      56                   19248.06             22927.26       
      60                   26468.84             31532.64       

      Missile acceleration vs time plots for 50 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    6435.89              5392.12        
      8                    5408.57              4530.1         
      12                   4748.77              3976.46        
      16                   4374.88              3662.73        
      20                   4241.09              3550.47        
      24                   4331.12              3626.01        
      28                   4655.91              3898.54        
      32                   5255.19              4401.4         
      36                   6202.96              5196.67        
      40                   7617.45              6383.57        
      44                   9676.71              8111.49        
      48                   12641.05             10598.87       
      52                   16884.43             14159.48       
      56                   22937.07             19238.25       
      60                   31542.45             26459.03       

      Missile acceleration vs time plots for 60 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    7274.6               4194.33        
      8                    6113.19              3523.79        
      12                   5367.28              3093.14        
      16                   4944.59              2849.1         
      20                   4793.34              2761.77        
      24                   4895.12              2820.53        
      28                   5262.3               3032.52        
      32                   5939.8               3423.68        
      36                   7011.26              4042.29        
      40                   8610.37              4965.53        
      44                   10938.39             6309.62        
      48                   14289.63             8244.46        
      52                   19086.83             11014.12       
      56                   25929.44             14964.71       
      60                   35657.96             20581.47       

      Missile acceleration vs time plots for 70 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    7892.57              2869.09        
      8                    6632.37              2410.41        
      12                   5823.01              2115.83        
      16                   5364.36              1948.9         
      20                   5200.25              1889.16        
      24                   5310.68              1929.36        
      28                   5709.09              2074.37        
      32                   6444.22              2341.93        
      36                   7606.83              2765.09        
      40                   9341.96              3396.62        
      44                   11868.02             4316.03        
      48                   15504.32             5639.54        
      52                   20709.59             7534.1         
      56                   28134.26             10236.46       
      60                   38690.32             14078.56       

      Missile acceleration vs time plots for 80 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    8271.02              1456.67        
      8                    6950.32              1223.8         
      12                   6102.1               1074.24        
      16                   5621.44              989.48         
      20                   5449.44              959.15         
      24                   5565.17              979.56         
      28                   5982.72              1053.18        
      32                   6753.14              1189.03        
      36                   7971.56              1403.87        
      40                   9790.0               1724.51        
      44                   12437.33             2191.31        
      48                   16248.22             2863.27        
      52                   21703.4              3825.16        
      56                   29484.53             5197.19        
      60                   40547.39             7147.87        
