
      Missile acceleration vs time plots for 10 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    30.89                119.56         
      8                    26.0                 91.8           
      12                   22.71                73.16          
      16                   20.55                60.94          
      20                   19.22                53.39          
      24                   18.53                49.47          
      28                   18.38                48.6           
      32                   18.75                50.68          
      36                   19.68                55.99          
      40                   21.32                65.28          
      44                   23.89                79.87          
      48                   27.77                101.85         
      52                   33.51                134.39         
      56                   41.94                182.2          
      60                   54.27                252.12         
      64                   72.23                354.01         
      68                   98.3                 501.86         
      72                   135.94               715.34         
      76                   189.97               1021.72        
      80                   266.97               1458.45        

      Missile acceleration vs time plots for 20 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    51.33                114.09         
      8                    41.69                87.6           
      12                   35.22                69.81          
      16                   30.97                58.14          
      20                   28.35                50.95          
      24                   26.99                47.2           
      28                   26.69                46.37          
      32                   27.41                48.36          
      36                   29.26                53.43          
      40                   32.48                62.29          
      44                   37.55                76.21          
      48                   45.18                97.18          
      52                   56.48                128.23         
      56                   73.09                173.85         
      60                   97.37                240.57         
      64                   132.76               337.79         
      68                   184.1                478.87         
      72                   258.24               682.57         
      76                   364.65               974.92         
      80                   516.32               1391.63        

      Missile acceleration vs time plots for 30 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    70.51                105.14         
      8                    56.42                80.73          
      12                   46.95                64.33          
      16                   40.75                53.59          
      20                   36.92                46.95          
      24                   34.92                43.5           
      28                   34.49                42.74          
      32                   35.54                44.57          
      36                   38.24                49.24          
      40                   42.95                57.41          
      44                   50.36                70.24          
      48                   61.52                89.56          
      52                   78.04                118.18         
      56                   102.31               160.22         
      60                   137.81               221.71         
      64                   189.54               311.31         
      68                   264.61               441.33         
      72                   373.0                629.06         
      76                   528.55               898.49         
      80                   750.28               1282.54        

      Missile acceleration vs time plots for 40 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    87.85                93.0           
      8                    69.73                71.41          
      12                   57.56                56.91          
      16                   49.58                47.4           
      20                   44.66                41.53          
      24                   42.1                 38.48          
      28                   41.53                37.8           
      32                   42.89                39.42          
      36                   46.36                43.55          
      40                   52.42                50.78          
      44                   61.94                62.13          
      48                   76.29                79.22          
      52                   97.53                104.54         
      56                   128.73               141.72         
      60                   174.37               196.11         
      64                   240.87               275.37         
      68                   337.38               390.38         
      72                   476.71               556.43         
      76                   676.69               794.76         
      80                   961.74               1134.47        

      Missile acceleration vs time plots for 50 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    102.81               78.04          
      8                    81.22                59.92          
      12                   66.72                47.75          
      16                   57.21                39.77          
      20                   51.34                34.85          
      24                   48.29                32.29          
      28                   47.61                31.72          
      32                   49.23                33.08          
      36                   53.36                36.55          
      40                   60.59                42.61          
      44                   71.94                52.13          
      48                   89.03                66.48          
      52                   114.35               87.72          
      56                   151.53               118.92         
      60                   205.92               164.56         
      64                   285.18               231.06         
      68                   400.19               327.57         
      72                   566.24               466.9          
      76                   804.57               666.88         
      80                   1144.28              951.93         

      Missile acceleration vs time plots for 60 degrees
      Time                 Acceleration-Y       Acceleration-Z 
      4                    114.95               60.7           
      8                    90.54                46.61          
      12                   74.14                37.14          
      16                   63.4                 30.94          
      20                   56.76                27.11          
      24                   53.31                25.11          
      28                   52.55                24.68          
      32                   54.38                25.73          
      36                   59.05                28.43          
      40                   67.22                33.14          
      44                   80.05                40.55          
      48                   99.37                51.71          
      52                   127.99               68.23          
      56                   170.03               92.5           
      60                   231.52               128.0          
      64                   321.12               179.73         
      68                   451.14               254.8          
      72                   638.87               363.19         
      76                   908.3                518.74         
      80                   1292.35              740.47         
