      Angle                Max Height (km)
      10                   25             
      20                   42             
      30                   58             
      40                   66             
      50                   66             
      60                   58             


      Angle                Max Velocity (m/s)
      10                   761            
      20                   761            
      30                   761            
      40                   761            
      50                   761            
      60                   761            
