
      Missile position vs time plots for 10 degrees
      Time                 Position (km)  
      4                    3.63           
      8                    7.1            
      12                   10.41          
      16                   13.57          
      20                   16.57          
      24                   19.42          
      28                   22.1           

      Missile position vs time plots for 20 degrees
      Time                 Position (km)  
      4                    4.02           
      8                    7.89           
      12                   11.6           
      16                   15.15          
      20                   18.55          
      24                   21.78          
      28                   24.86          
      32                   27.79          
      36                   30.56          
      40                   33.17          
      44                   35.62          
      48                   37.92          
      52                   40.06          

      Missile position vs time plots for 30 degrees
      Time                 Position (km)  
      4                    4.29           
      8                    8.43           
      12                   12.41          
      16                   16.23          
      20                   19.89          
      24                   23.4           
      28                   26.75          
      32                   29.95          
      36                   32.98          
      40                   35.86          
      44                   38.59          
      48                   41.15          
      52                   43.56          
      56                   45.82          
      60                   47.91          
      64                   49.85          
      68                   51.63          
      72                   53.26          
      76                   54.72          
      80                   56.03          

      Missile position vs time plots for 40 degrees
      Time                 Position (km)  
      4                    4.43           
      8                    8.7            
      12                   12.82          
      16                   16.78          
      20                   20.58          
      24                   24.22          
      28                   27.71          
      32                   31.04          
      36                   34.22          
      40                   37.23          
      44                   40.09          
      48                   42.8           
      52                   45.34          
      56                   47.73          
      60                   49.97          
      64                   52.04          
      68                   53.96          
      72                   55.72          
      76                   57.33          
      80                   58.77          
      84                   60.06          
      88                   61.2           
      92                   62.17          
      96                   62.99          
      100                  63.66          
      104                  64.16          

      Missile position vs time plots for 50 degrees
      Time                 Position (km)  
      4                    4.43           
      8                    8.7            
      12                   12.82          
      16                   16.78          
      20                   20.58          
      24                   24.22          
      28                   27.71          
      32                   31.04          
      36                   34.22          
      40                   37.23          
      44                   40.09          
      48                   42.8           
      52                   45.34          
      56                   47.73          
      60                   49.97          
      64                   52.04          
      68                   53.96          
      72                   55.72          
      76                   57.33          
      80                   58.77          
      84                   60.06          
      88                   61.2           
      92                   62.17          
      96                   62.99          
      100                  63.66          
      104                  64.16          
      108                  64.51          
      112                  64.7           
      116                  64.74          
      120                  64.62          
      124                  64.34          

      Missile position vs time plots for 60 degrees
      Time                 Position (km)  
      4                    4.29           
      8                    8.43           
      12                   12.41          
      16                   16.23          
      20                   19.89          
      24                   23.4           
      28                   26.75          
      32                   29.95          
      36                   32.98          
      40                   35.86          
      44                   38.59          
      48                   41.15          
      52                   43.56          
      56                   45.82          
      60                   47.91          
      64                   49.85          
      68                   51.63          
      72                   53.26          
      76                   54.72          
      80                   56.03          
      84                   57.19          
      88                   58.18          
      92                   59.02          
      96                   59.71          
      100                  60.23          
      104                  60.6           
      108                  60.81          
      112                  60.87          
      116                  60.77          
      120                  60.51          
      124                  60.09          
      128                  59.52          
      132                  58.79          
      136                  57.9           
      140                  56.86          
