
      Missile velocity vs time plots for 10 degrees
      Time                 Velocity       
      4                    760.76         
      8                    721.52         
      12                   682.28         
      16                   643.04         
      20                   603.8          
      24                   564.56         
      28                   525.32         
      32                   486.08         
      36                   446.84         
      40                   407.6          
      44                   368.36         
      48                   329.12         
      52                   289.88         
      56                   250.64         
      60                   211.4          
      64                   172.16         
      68                   132.92         
      72                   93.68          
      76                   54.44          
      80                   15.2           

      Missile velocity vs time plots for 20 degrees
      Time                 Velocity       
      4                    760.76         
      8                    721.52         
      12                   682.28         
      16                   643.04         
      20                   603.8          
      24                   564.56         
      28                   525.32         
      32                   486.08         
      36                   446.84         
      40                   407.6          
      44                   368.36         
      48                   329.12         
      52                   289.88         
      56                   250.64         
      60                   211.4          
      64                   172.16         
      68                   132.92         
      72                   93.68          
      76                   54.44          
      80                   15.2           

      Missile velocity vs time plots for 30 degrees
      Time                 Velocity       
      4                    760.76         
      8                    721.52         
      12                   682.28         
      16                   643.04         
      20                   603.8          
      24                   564.56         
      28                   525.32         
      32                   486.08         
      36                   446.84         
      40                   407.6          
      44                   368.36         
      48                   329.12         
      52                   289.88         
      56                   250.64         
      60                   211.4          
      64                   172.16         
      68                   132.92         
      72                   93.68          
      76                   54.44          
      80                   15.2           

      Missile velocity vs time plots for 40 degrees
      Time                 Velocity       
      4                    760.76         
      8                    721.52         
      12                   682.28         
      16                   643.04         
      20                   603.8          
      24                   564.56         
      28                   525.32         
      32                   486.08         
      36                   446.84         
      40                   407.6          
      44                   368.36         
      48                   329.12         
      52                   289.88         
      56                   250.64         
      60                   211.4          
      64                   172.16         
      68                   132.92         
      72                   93.68          
      76                   54.44          
      80                   15.2           

      Missile velocity vs time plots for 50 degrees
      Time                 Velocity       
      4                    760.76         
      8                    721.52         
      12                   682.28         
      16                   643.04         
      20                   603.8          
      24                   564.56         
      28                   525.32         
      32                   486.08         
      36                   446.84         
      40                   407.6          
      44                   368.36         
      48                   329.12         
      52                   289.88         
      56                   250.64         
      60                   211.4          
      64                   172.16         
      68                   132.92         
      72                   93.68          
      76                   54.44          
      80                   15.2           

      Missile velocity vs time plots for 60 degrees
      Time                 Velocity       
      4                    760.76         
      8                    721.52         
      12                   682.28         
      16                   643.04         
      20                   603.8          
      24                   564.56         
      28                   525.32         
      32                   486.08         
      36                   446.84         
      40                   407.6          
      44                   368.36         
      48                   329.12         
      52                   289.88         
      56                   250.64         
      60                   211.4          
      64                   172.16         
      68                   132.92         
      72                   93.68          
      76                   54.44          
      80                   15.2           
