
      Missile position vs time plots for 10 degrees
      Time                 Y                    Z                    Y+Z            
      4                    2363.54              338.28               2701.81        
      8                    4727.08              519.59               5246.67        
      12                   7090.62              543.95               7634.56        
      16                   9454.15              411.34               9865.5         
      20                   11817.69             121.78               11939.47       

      Missile position vs time plots for 20 degrees
      Time                 Y                    Z                    Y+Z            
      4                    2255.26              742.37               2997.63        
      8                    4510.52              1327.78              5838.3         
      12                   6765.79              1756.23              8522.01        
      16                   9021.05              2027.71              11048.76       
      20                   11276.31             2142.24              13418.55       
      24                   13531.57             2099.81              15631.38       
      28                   15786.84             1900.42              17687.25       
      32                   18042.1              1544.07              19586.17       
      36                   20297.36             1030.76              21328.12       
      40                   22552.62             360.48               22913.11       

      Missile position vs time plots for 30 degrees
      Time                 Y                    Z                    Y+Z            
      4                    2078.46              1121.52              3199.98        
      8                    4156.92              2086.08              6243.0         
      12                   6235.38              2893.68              9129.06        
      16                   8313.84              3544.32              11858.16       
      20                   10392.3              4038.0               14430.3        
      24                   12470.77             4374.72              16845.49       
      28                   14549.23             4554.48              19103.71       
      32                   16627.69             4577.28              21204.97       
      36                   18706.15             4443.12              23149.27       
      40                   20784.61             4152.0               24936.61       
      44                   22863.07             3703.92              26566.99       
      48                   24941.53             3098.88              28040.41       
      52                   27019.99             2336.88              29356.87       
      56                   29098.45             1417.92              30516.37       
      60                   31176.91             342.0                31518.91       

      Missile position vs time plots for 40 degrees
      Time                 Y                    Z                    Y+Z            
      4                    1838.51              1464.21              3302.72        
      8                    3677.01              2771.46              6448.47        
      12                   5515.52              3921.75              9437.27        
      16                   7354.03              4915.08              12269.11       
      20                   9192.53              5751.45              14943.98       
      24                   11031.04             6430.86              17461.9        
      28                   12869.55             6953.31              19822.86       
      32                   14708.05             7318.8               22026.86       
      36                   16546.56             7527.33              24073.89       
      40                   18385.07             7578.9               25963.97       
      44                   20223.57             7473.51              27697.09       
      48                   22062.08             7211.16              29273.24       
      52                   23900.59             6791.85              30692.44       
      56                   25739.09             6215.58              31954.68       
      60                   27577.6              5482.35              33059.95       
      64                   29416.11             4592.16              34008.27       
      68                   31254.61             3545.01              34799.63       
      72                   33093.12             2340.9               35434.02       
      76                   34931.63             979.84               35911.46       

      Missile position vs time plots for 50 degrees
      Time                 Y                    Z                    Y+Z            
      4                    1542.69              1760.03              3302.72        
      8                    3085.38              3363.09              6448.47        
      12                   4628.07              4809.2               9437.27        
      16                   6170.76              6098.35              12269.11       
      20                   7713.45              7230.53              14943.98       
      24                   9256.14              8205.76              17461.9        
      28                   10798.83             9024.03              19822.86       
      32                   12341.52             9685.33              22026.86       
      36                   13884.21             10189.68             24073.89       
      40                   15426.9              10537.07             25963.97       
      44                   16969.59             10727.49             27697.09       
      48                   18512.28             10760.96             29273.24       
      52                   20054.97             10637.47             30692.44       
      56                   21597.66             10357.01             31954.68       
      60                   23140.35             9919.6               33059.95       
      64                   24683.04             9325.23              34008.27       
      68                   26225.73             8573.89              34799.63       
      72                   27768.42             7665.6               35434.02       
      76                   29311.12             6600.35              35911.46       
      80                   30853.81             5378.13              36231.94       
      84                   32396.5              3998.96              36395.46       
      88                   33939.19             2462.83              36402.01       
      92                   35481.88             769.73               36251.61       

      Missile position vs time plots for 60 degrees
      Time                 Y                    Z                    Y+Z            
      4                    1200.0               1999.98              3199.98        
      8                    2400.0               3843.0               6243.0         
      12                   3600.0               5529.06              9129.06        
      16                   4800.0               7058.16              11858.16       
      20                   6000.0               8430.3               14430.3        
      24                   7200.0               9645.49              16845.49       
      28                   8400.0               10703.71             19103.71       
      32                   9600.0               11604.97             21204.97       
      36                   10800.0              12349.27             23149.27       
      40                   12000.0              12936.61             24936.61       
      44                   13200.0              13366.99             26566.99       
      48                   14400.0              13640.41             28040.41       
      52                   15600.0              13756.87             29356.87       
      56                   16800.0              13716.37             30516.37       
      60                   18000.0              13518.91             31518.91       
      64                   19200.0              13164.5              32364.5        
      68                   20400.0              12653.12             33053.12       
      72                   21600.0              11984.78             33584.78       
      76                   22800.0              11159.48             33959.48       
      80                   24000.0              10177.22             34177.22       
      84                   25200.0              9038.0               34238.0        
      88                   26400.0              7741.82              34141.82       
      92                   27600.0              6288.68              33888.68       
      96                   28800.0              4678.58              33478.58       
      100                  30000.0              2911.52              32911.52       
      104                  31200.0              987.51               32187.51       

      Missile position vs time plots for 70 degrees
      Time                 Y                    Z                    Y+Z            
      4                    820.85               2176.78              2997.63        
      8                    1641.7               4196.6               5838.3         
      12                   2462.55              6059.47              8522.01        
      16                   3283.39              7765.37              11048.76       
      20                   4104.24              9314.31              13418.55       
      24                   4925.09              10706.29             15631.38       
      28                   5745.94              11941.32             17687.25       
      32                   6566.79              13019.38             19586.17       
      36                   7387.64              13940.48             21328.12       
      40                   8208.48              14704.62             22913.11       
      44                   9029.33              15311.81             24341.14       
      48                   9850.18              15762.03             25612.21       
      52                   10671.03             16055.29             26726.32       
      56                   11491.88             16191.59             27683.47       
      60                   12312.73             16170.93             28483.66       
      64                   13133.57             15993.32             29126.89       
      68                   13954.42             15658.74             29613.16       
      72                   14775.27             15167.2              29942.47       
      76                   15596.12             14518.7              30114.82       
      80                   16416.97             13713.25             30130.21       
      84                   17237.82             12750.83             29988.64       
      88                   18058.66             11631.45             29690.11       
      92                   18879.51             10355.11             29234.62       
      96                   19700.36             8921.81              28622.18       
      100                  20521.21             7331.56              27852.77       
      104                  21342.06             5584.34              26926.4        
      108                  22162.91             3680.16              25843.07       
      112                  22983.75             1619.02              24602.78       

      Missile position vs time plots for 80 degrees
      Time                 Y                    Z                    Y+Z            
      4                    416.76               2285.06              2701.81        
      8                    833.51               4413.16              5246.67        
      12                   1250.27              6384.3               7634.56        
      16                   1667.02              8198.47              9865.5         
      20                   2083.78              9855.69              11939.47       
      24                   2500.53              11355.95             13856.49       
      28                   2917.29              12699.25             15616.54       
      32                   3334.05              13885.59             17219.63       
      36                   3750.8               14914.97             18665.77       
      40                   4167.56              15787.39             19954.94       
      44                   4584.31              16502.84             21087.16       
      48                   5001.07              17061.34             22062.41       
      52                   5417.82              17462.88             22880.71       
      56                   5834.58              17707.46             23542.04       
      60                   6251.33              17795.08             24046.41       
      64                   6668.09              17725.74             24393.83       
      68                   7084.85              17499.44             24584.28       
      72                   7501.6               17116.17             24617.78       
      76                   7918.36              16575.95             24494.31       
      80                   8335.11              15878.77             24213.88       
      84                   8751.87              15024.63             23776.5        
      88                   9168.62              14013.53             23182.15       
      92                   9585.38              12845.47             22430.85       
      96                   10002.14             11520.45             21522.58       
      100                  10418.89             10038.47             20457.36       
      104                  10835.65             8399.52              19235.17       
      108                  11252.4              6603.62              17856.02       
      112                  11669.16             4650.76              16319.92       
      116                  12085.91             2540.94              14626.85       
      120                  12502.67             274.16               12776.83       
